REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars)
1908,AB,Barley,15,1585,84000,129800,53000,1296
1908,AB,Flaxseed,29,950,1900,5900,2000,56
1908,AB,Oats,18,1675,352000,519400,210000,6316
1908,AB,"Rye, all",23,1665,5000,6500,3000,117
1908,AB,Sugar beets,0.55,18100,38100,5200,2100,208
1908,AB,Tame hay,0.84,5050,101000,57100,20000,846
1908,AB,"Wheat, all",25,1690,186000,271000,110000,4617
1908,BC,Barley,0,0,0,0,0,0
1908,BC,Oats,0,0,0,0,0,0
1908,BC,"Wheat, all",0,0,0,0,0,0
1908,CA,Barley,21,1440,1016850,1745700,707100,21353
1908,CA,"Beans, all dry (white and coloured)",59,1395,33800,59900,24200,1988
1908,CA,Buckwheat,27,1320,155700,291300,117950,4269
1908,CA,Corn for grain,20,3935,580600,365800,147600,11834
1908,CA,Corn for silage,0.44,25360,2665000,259800,105100,11812
1908,CA,Flaxseed,38,680,38100,139300,56000,1457
1908,CA,Mixed grains,26,1650,388750,581900,235550,10140
1908,CA,Oats,25,1205,3861650,7911100,3200550,96489
1908,CA,"Peas, dry",31,1150,192100,412900,167050,5970
1908,CA,"Rye, all",29,1065,43902,100300,41281,1262
1908,CA,Sugar beets,0.58,22500,98900,10800,4400,578
1908,CA,Tame hay,1.17,3120,10388000,8210900,3326000,121884
1908,CA,"Wheat, all",30,1145,3060250,6610300,2676250,91228
1908,MA,Barley,18,1390,372000,662500,268000,6705
1908,MA,Flaxseed,38,790,7100,23400,9000,273
1908,MA,Oats,21,1290,690000,1322800,535000,14263
1908,MA,"Peas, dry",15,1415,850,1600,600,13
1908,MA,"Rye, all",20,1000,3000,6300,3000,61
1908,MA,Tame hay,0.82,3900,195000,119200,50000,1592
1908,MA,"Wheat, all",31,1145,1368000,2957000,1197000,41924
1908,MP,Barley,31,1525,11750,19000,7700,369
1908,MP,Mixed grains,27,1855,20850,27700,11250,556
1908,MP,Oats,31,1120,221450,487900,197450,6786
1908,MP,Tame hay,1.08,3470,2211000,1573800,637000,23955
1908,MP,"Wheat, all",38,1085,29950,68400,27650,1150
1908,NB,Barley,32,1215,1700,3500,1400,55
1908,NB,"Beans, all dry (white and coloured)",77,1125,900,2000,800,69
1908,NB,Buckwheat,27,1375,34250,61700,24950,909
1908,NB,Corn for silage,0.39,22860,8000,900,350,31
1908,NB,Mixed grains,27,1440,3100,5300,2150,85
1908,NB,Oats,33,945,78000,203900,82500,2539
1908,NB,"Peas, dry",43,590,650,2700,1100,28
1908,NB,"Rye, all",29,1260,102,200,81,3
1908,NB,Tame hay,1.03,3010,845000,694500,281000,8664
1908,NB,"Wheat, all",42,1165,9500,20200,8150,402
1908,NS,Barley,33,1550,6050,9600,3900,202
1908,NS,"Beans, all dry (white and coloured)",81,1200,1500,3100,1250,121
1908,NS,Buckwheat,30,1340,9800,18000,7300,295
1908,NS,Corn for silage,0.33,16920,11000,1600,650,36
1908,NS,Mixed grains,30,1785,5350,7400,3000,161
1908,NS,Oats,34,1210,65450,133900,54200,2224
1908,NS,"Peas, dry",45,915,550,1500,600,25
1908,NS,"Rye, all",27,1000,300,700,300,8
1908,NS,Tame hay,1.14,3810,988000,640800,259000,11242
1908,NS,"Wheat, all",39,1170,9750,20600,8350,378
1908,ON,Barley,24,1530,459900,743800,301000,11217
1908,ON,"Beans, all dry (white and coloured)",56,1410,24400,42800,17300,1355
1908,ON,Buckwheat,25,1345,63300,116300,47100,1570
1908,ON,Corn for grain,20,4120,552000,332200,134000,10871
1908,ON,Corn for silage,0.43,26060,2241000,212400,86000,9708
1908,ON,Mixed grains,24,1770,301600,421000,170400,7315
1908,ON,Oats,26,1275,1601100,3108400,1257900,41425
1908,ON,"Peas, dry",30,1195,171300,354600,143500,5123
1908,ON,"Rye, all",28,1020,26200,63400,25700,745
1908,ON,Sugar beets,0.61,26400,60800,5600,2300,370
1908,ON,Tame hay,1.21,3270,4706000,3552700,1438000,57160
1908,ON,"Wheat, all",33,1495,491500,812400,328900,16021
1908,ON,"Wheat, spring",32,1060,61500,143000,57900,1961
1908,ON,"Wheat, winter remaining",33,1585,430000,,,14060
1908,PP,Barley,18,1405,498000,873300,354000,8755
1908,PP,Flaxseed,38,680,38100,139300,56000,1457
1908,PP,Oats,19,1330,1492000,2772300,1121000,29049
1908,PP,"Peas, dry",15,1415,850,1600,600,13
1908,PP,"Rye, all",25,1285,9000,15800,7000,223
1908,PP,Sugar beets,0.55,18100,38100,5200,2100,208
1908,PP,Tame hay,0.8,4000,320000,190600,80000,2571
1908,PP,"Wheat, all",29,1100,2500000,5624000,2277000,72424
1908,PEI,Barley,28,1665,4000,5900,2400,112
1908,PEI,Buckwheat,25,1500,2400,3900,1600,60
1908,PEI,Corn for silage,0.44,1667,5000,800,300,22
1908,PEI,Mixed grains,25,2035,12400,15000,6100,310
1908,PEI,Oats,26,1285,78000,150100,60750,2023
1908,PEI,"Peas, dry",35,1600,400,600,250,14
1908,PEI,Tame hay,1.07,3900,378000,238500,97000,4049
1908,PEI,"Wheat, all",35,960,10700,27600,11150,370
1908,QU,Barley,21,1065,47200,109600,44400,1012
1908,QU,"Beans, all dry (white and coloured)",63,1445,7000,12000,4850,441
1908,QU,Buckwheat,31,1240,45950,91400,37000,1435
1908,QU,Corn for grain,34,2105,28600,33600,13600,963
1908,QU,Corn for silage,0.5,22470,400000,44100,17800,2015
1908,QU,Mixed grains,34,1230,66300,133200,53900,2269
1908,QU,Oats,35,875,547100,1542500,624200,19229
1908,QU,"Peas, dry",42,875,18350,51900,21000,767
1908,QU,"Rye, all",34,1010,8300,20200,8200,283
1908,QU,Tame hay,1.21,2690,3151000,2893800,1171000,38198
1908,QU,"Wheat, all",42,910,38800,105500,42700,1633
1908,SK,Barley,18,1275,42000,81000,33000,754
1908,SK,Flaxseed,39,645,29100,110000,45000,1128
1908,SK,Oats,19,1195,450000,930100,376000,8470
1908,SK,"Rye, all",45,1000,1000,3000,1000,45
1908,SK,Tame hay,0.55,2400,24000,14300,10000,133
1908,SK,"Wheat, all",27,975,946000,2396000,970000,25883
1909,AB,Barley,15,1745,131000,186000,75000,2016
1909,AB,Flaxseed,41,1400,2800,5800,2000,114
1909,AB,Oats,16,1785,592000,820000,332000,9287
1909,AB,"Rye, all",20,1335,4000,6800,3000,81
1909,AB,Sugar beets,0.55,18100,14500,2000,800,80
1909,AB,Tame hay,0.99,4050,81000,60400,20000,800
1909,AB,"Wheat, all",27,1675,261000,385000,156000,7037
1909,BC,Barley,0,0,0,0,0,0
1909,BC,Oats,0,0,0,0,0,0
1909,BC,"Wheat, all",0,0,0,0,0,0
1909,CA,Barley,21,1600,1206450,1864900,755200,25434
1909,CA,"Beans, all dry (white and coloured)",52,1595,35950,55800,22550,1881
1909,CA,Buckwheat,27,1485,169900,282400,114350,4554
1909,CA,Corn for grain,26,3450,489600,352200,142000,12760
1909,CA,Corn for silage,0.6,23060,2521000,269600,109300,15116
1909,CA,Flaxseed,49,1005,56300,138500,56000,2761
1909,CA,Mixed grains,28,1680,395850,582100,235550,10916
1909,CA,Oats,22,1450,5451400,9302600,3764800,122390
1909,CA,"Peas, dry",32,1395,221650,393300,159150,7124
1909,CA,"Rye, all",29,1180,43902,91300,37181,1254
1909,CA,Sugar beets,0.64,19500,78000,10000,4000,500
1909,CA,Tame hay,1.23,3240,10776000,8210300,3325000,132288
1909,CA,"Wheat, all",31,1445,4537850,7750400,3135950,141320
1909,MA,Barley,17,1610,454000,696000,282000,7929
1909,MA,Flaxseed,52,900,8100,22400,9000,418
1909,MA,Oats,20,1515,852000,1390000,563000,17178
1909,MA,"Peas, dry",17,1300,650,1200,500,11
1909,MA,"Rye, all",23,1000,2000,4700,2000,46
1909,MA,Tame hay,0.84,3100,155000,115700,50000,1298
1909,MA,"Wheat, all",32,1260,1434000,2808000,1136000,45854
1909,MP,Barley,32,1445,10550,18000,7300,334
1909,MP,Mixed grains,27,1905,20650,26800,10850,561
1909,MP,Oats,30,1175,251900,529300,214200,7495
1909,MP,Tame hay,1.16,3400,2145000,1558500,631000,24952
1909,MP,"Wheat, all",40,1345,35950,66100,26750,1430
1909,NB,Barley,32,1575,2050,3200,1300,65
1909,NB,"Beans, all dry (white and coloured)",99,3070,2150,1700,700,212
1909,NB,Buckwheat,25,1550,37600,59900,24250,950
1909,NB,Corn for silage,0.35,36670,11000,800,300,38
1909,NB,Mixed grains,30,1650,3300,5000,2000,98
1909,NB,Oats,31,1060,89050,207200,83850,2801
1909,NB,"Peas, dry",49,1790,1700,2400,950,84
1909,NB,"Rye, all",29,1260,102,200,81,3
1909,NB,Tame hay,1.13,2810,777000,684400,277000,8777
1909,NB,"Wheat, all",41,1350,10750,19600,7950,440
1909,NS,Barley,35,1335,4800,8900,3600,170
1909,NS,"Beans, all dry (white and coloured)",83,1955,2250,2900,1150,186
1909,NS,Buckwheat,29,1375,10250,18400,7450,294
1909,NS,Corn for silage,0.94,13330,8000,1500,600,75
1909,NS,Mixed grains,31,1805,5150,7000,2850,159
1909,NS,Oats,33,1200,67200,138100,55900,2214
1909,NS,"Peas, dry",46,2635,1450,1400,550,66
1909,NS,"Rye, all",30,2000,400,600,200,12
1909,NS,Tame hay,1.24,3950,1016000,634400,257000,12602
1909,NS,"Wheat, all",43,1335,11000,20400,8250,477
1909,ON,Barley,26,1560,456200,721500,292000,11670
1909,ON,"Beans, all dry (white and coloured)",41,1540,24600,39600,16000,1000
1909,ON,Buckwheat,26,1465,76900,129700,52500,1993
1909,ON,Corn for grain,26,3590,463000,320000,129000,11837
1909,ON,Corn for silage,0.61,22630,2082000,227000,92000,12691
1909,ON,Mixed grains,26,1745,297800,422300,170900,7864
1909,ON,Oats,27,1325,1684000,3142200,1271600,45315
1909,ON,"Peas, dry",31,1425,197000,341300,138100,6008
1909,ON,"Rye, all",28,1205,27900,57300,23200,770
1909,ON,Sugar beets,0.66,19800,63500,8000,3200,420
1909,ON,Tame hay,1.4,3030,4330000,3535600,1431000,60618
1909,ON,"Wheat, all",37,1550,442200,705800,285500,16370
1909,ON,"Wheat, spring",36,1170,59200,124700,50500,2115
1909,ON,"Wheat, winter remaining",37,1630,383000,,,14255
1909,PP,Barley,17,1660,683000,1017000,412000,11563
1909,PP,Flaxseed,49,1005,56300,138500,56000,2761
1909,PP,Oats,17,1740,2860000,4057000,1642000,49689
1909,PP,"Peas, dry",17,1300,650,1200,500,11
1909,PP,"Rye, all",24,1165,7000,14200,6000,168
1909,PP,Sugar beets,0.55,18100,14500,2000,800,80
1909,PP,Tame hay,0.85,3360,269000,192600,80000,2278
1909,PP,"Wheat, all",30,1440,4014000,6878000,2783000,121560
1909,PEI,Barley,27,1540,3700,5900,2400,99
1909,PEI,Buckwheat,25,1290,2000,3800,1550,50
1909,PEI,Corn for silage,0.36,3000,9000,700,300,32
1909,PEI,Mixed grains,25,2035,12200,14800,6000,304
1909,PEI,Oats,26,1285,95650,184000,74450,2480
1909,PEI,"Peas, dry",35,1600,400,600,250,14
1909,PEI,Tame hay,1.01,3630,352000,239700,97000,3572
1909,PEI,"Wheat, all",36,1345,14200,26100,10550,513
1909,QU,Barley,33,1290,56700,108400,43900,1867
1909,QU,"Beans, all dry (white and coloured)",69,1480,6950,11600,4700,478
1909,QU,Buckwheat,29,1510,43150,70600,28600,1267
1909,QU,Corn for grain,35,2045,26600,32200,13000,923
1909,QU,Corn for silage,0.55,25530,411000,39700,16100,2279
1909,QU,Mixed grains,32,1440,77400,133000,53800,2491
1909,QU,Oats,30,1030,655500,1574100,637000,19891
1909,QU,"Peas, dry",46,1090,20450,46400,18800,941
1909,QU,"Rye, all",35,1105,8500,19000,7700,301
1909,QU,Tame hay,1.1,3410,4032000,2923600,1183000,44440
